seq,receive_time_ms,send_timestamp_ms,delay_ms,jitter_ms,cumulative_loss,payload_bytes
1675,1785044608072,1785044608072,0,0.502,0,40
1676,1785044608073,1785044608072,1,0.533,0,40
1677,1785044608073,1785044608072,1,0.500,0,40
1678,1785044608073,1785044608072,1,0.469,0,40
1679,1785044608073,1785044608073,0,0.502,0,40
1680,1785044608073,1785044608073,0,0.471,0,40
1681,1785044608073,1785044608073,0,0.441,0,40
1682,1785044608073,1785044608073,0,0.414,0,40
1683,1785044608074,1785044608074,0,0.388,0,40
1684,1785044608074,1785044608074,0,0.364,0,40
1685,1785044608199,1785044608199,0,0.341,0,40
1686,1785044608199,1785044608199,0,0.320,0,40
1687,1785044608201,1785044608199,2,0.425,0,40
1688,1785044608201,1785044608199,2,0.398,0,40
1689,1785044608201,1785044608199,2,0.373,0,40
1690,1785044608201,1785044608199,2,0.350,0,40
1691,1785044608201,1785044608201,0,0.453,0,40
1692,1785044608201,1785044608201,0,0.425,0,40
1693,1785044608202,1785044608201,1,0.461,0,40
1694,1785044608202,1785044608201,1,0.432,0,40
1695,1785044608202,1785044608201,1,0.405,0,40
1696,1785044608202,1785044608201,1,0.380,0,40
1697,1785044608202,1785044608202,0,0.418,0,40
1698,1785044608202,1785044608202,0,0.392,0,40
1699,1785044608202,1785044608202,0,0.368,0,40
1700,1785044608203,1785044608202,1,0.407,0,40
1701,1785044608328,1785044608328,0,0.444,0,40
1702,1785044608329,1785044608328,1,0.479,0,40
1703,1785044608329,1785044608328,1,0.449,0,40
1704,1785044608329,1785044608328,1,0.421,0,40
1705,1785044608329,1785044608328,1,0.395,0,40
1706,1785044608329,1785044608329,0,0.432,0,40
1707,1785044608329,1785044608329,0,0.405,0,40
1708,1785044608329,1785044608329,0,0.380,0,40
1709,1785044608330,1785044608329,1,0.419,0,40
1710,1785044608330,1785044608329,1,0.393,0,40
1711,1785044608330,1785044608330,0,0.431,0,40
1712,1785044608330,1785044608330,0,0.404,0,40
1713,1785044608457,1785044608456,1,0.441,0,40
1714,1785044608457,1785044608457,0,0.476,0,40
1715,1785044608457,1785044608457,0,0.446,0,40
1716,1785044608457,1785044608457,0,0.418,0,40
1717,1785044608458,1785044608457,1,0.455,0,40
1718,1785044608458,1785044608458,0,0.489,0,40
1719,1785044608458,1785044608458,0,0.458,0,40
1720,1785044608458,1785044608458,0,0.430,0,40
1721,1785044608458,1785044608458,0,0.403,0,40
1722,1785044608458,1785044608458,0,0.378,0,40
1723,1785044608459,1785044608458,1,0.416,0,40
1724,1785044608459,1785044608459,0,0.453,0,40
1725,1785044608459,1785044608459,0,0.425,0,40
1726,1785044608586,1785044608585,1,0.461,0,40
1727,1785044608586,1785044608585,1,0.432,0,40
1728,1785044608586,1785044608585,1,0.405,0,40
1729,1785044608586,1785044608586,0,0.442,0,40
1730,1785044608586,1785044608586,0,0.414,0,40
1731,1785044608586,1785044608586,0,0.388,0,40
1732,1785044608587,1785044608586,1,0.427,0,40
1733,1785044608587,1785044608586,1,0.400,0,40
1734,1785044608587,1785044608586,1,0.375,0,40
1735,1785044608587,1785044608586,1,0.352,0,40
1736,1785044608587,1785044608586,1,0.330,0,40
1737,1785044608587,1785044608586,1,0.309,0,40
1738,1785044608713,1785044608712,1,0.290,0,40
1739,1785044608713,1785044608712,1,0.272,0,40
1740,1785044608713,1785044608712,1,0.255,0,40
1741,1785044608713,1785044608713,0,0.301,0,40
1742,1785044608713,1785044608713,0,0.282,0,40
1743,1785044608713,1785044608713,0,0.265,0,40
1744,1785044608714,1785044608713,1,0.311,0,40
1745,1785044608714,1785044608713,1,0.291,0,40
1746,1785044608714,1785044608714,0,0.336,0,40
1747,1785044608715,1785044608715,0,0.315,0,40
1748,1785044608715,1785044608715,0,0.295,0,40
1749,1785044608715,1785044608715,0,0.276,0,40
1750,1785044608717,1785044608715,2,0.384,0,40
1751,1785044608841,1785044608841,0,0.485,0,40
1752,1785044608842,1785044608841,1,0.517,0,40
1753,1785044608842,1785044608842,0,0.548,0,40
1754,1785044608842,1785044608842,0,0.513,0,40
1755,1785044608842,1785044608842,0,0.481,0,40
1756,1785044608843,1785044608842,1,0.514,0,40
1757,1785044608843,1785044608843,0,0.544,0,40
1758,1785044608843,1785044608843,0,0.510,0,40
1759,1785044608843,1785044608843,0,0.478,0,40
