seq,receive_time_ms,send_timestamp_ms,delay_ms,jitter_ms,cumulative_loss,payload_bytes
2678,1785284646974,1785284646974,0,0.378,0,40
2679,1785284646974,1785284646974,0,0.355,0,40
2680,1785284646974,1785284646974,0,0.332,0,40
2681,1785284646974,1785284646974,0,0.312,0,40
2682,1785284646974,1785284646974,0,0.292,0,40
2683,1785284646974,1785284646974,0,0.274,0,40
2684,1785284647100,1785284647099,1,0.319,0,40
2685,1785284647100,1785284647099,1,0.299,0,40
2686,1785284647100,1785284647100,0,0.343,0,40
2687,1785284647100,1785284647100,0,0.322,0,40
2688,1785284647101,1785284647100,1,0.364,0,40
2689,1785284647101,1785284647100,1,0.341,0,40
2690,1785284647101,1785284647101,0,0.382,0,40
2691,1785284647101,1785284647101,0,0.359,0,40
2692,1785284647102,1785284647101,1,0.399,0,40
2693,1785284647102,1785284647102,0,0.436,0,40
2694,1785284647102,1785284647102,0,0.409,0,40
2695,1785284647102,1785284647102,0,0.383,0,40
2696,1785284647228,1785284647228,0,0.359,0,40
2697,1785284647228,1785284647228,0,0.337,0,40
2698,1785284647228,1785284647228,0,0.316,0,40
2699,1785284647228,1785284647228,0,0.296,0,40
2700,1785284647228,1785284647228,0,0.278,0,40
2701,1785284647228,1785284647228,0,0.260,0,40
2702,1785284647228,1785284647228,0,0.244,0,40
2703,1785284647228,1785284647228,0,0.229,0,40
2704,1785284647228,1785284647228,0,0.214,0,40
2705,1785284647228,1785284647228,0,0.201,0,40
2706,1785284647229,1785284647229,0,0.189,0,40
2707,1785284647229,1785284647229,0,0.177,0,40
2708,1785284647229,1785284647229,0,0.166,0,40
2709,1785284647355,1785284647355,0,0.155,0,40
2710,1785284647355,1785284647355,0,0.146,0,40
2711,1785284647355,1785284647355,0,0.137,0,40
2712,1785284647355,1785284647355,0,0.128,0,40
2713,1785284647355,1785284647355,0,0.120,0,40
2714,1785284647355,1785284647355,0,0.112,0,40
2715,1785284647356,1785284647355,1,0.168,0,40
2716,1785284647356,1785284647355,1,0.157,0,40
2717,1785284647356,1785284647355,1,0.148,0,40
2718,1785284647356,1785284647355,1,0.138,0,40
2719,1785284647356,1785284647355,1,0.130,0,40
2720,1785284647356,1785284647355,1,0.122,0,40
2721,1785284647483,1785284647482,1,0.114,0,40
2722,1785284647483,1785284647482,1,0.107,0,40
2723,1785284647483,1785284647482,1,0.100,0,40
2724,1785284647483,1785284647483,0,0.156,0,40
2725,1785284647483,1785284647483,0,0.147,0,40
2726,1785284647483,1785284647483,0,0.138,0,40
2727,1785284647484,1785284647483,1,0.191,0,40
2728,1785284647484,1785284647483,1,0.179,0,40
2729,1785284647484,1785284647483,1,0.168,0,40
2730,1785284647484,1785284647483,1,0.158,0,40
2731,1785284647484,1785284647483,1,0.148,0,40
2732,1785284647484,1785284647484,0,0.201,0,40
2733,1785284647484,1785284647484,0,0.189,0,40
2734,1785284647610,1785284647609,1,0.239,0,40
2735,1785284647610,1785284647609,1,0.224,0,40
2736,1785284647610,1785284647610,0,0.273,0,40
2737,1785284647610,1785284647610,0,0.256,0,40
2738,1785284647610,1785284647610,0,0.240,0,40
2739,1785284647611,1785284647611,0,0.225,0,40
2740,1785284647611,1785284647611,0,0.211,0,40
2741,1785284647611,1785284647611,0,0.198,0,40
2742,1785284647611,1785284647611,0,0.185,0,40
2743,1785284647611,1785284647611,0,0.174,0,40
2744,1785284647612,1785284647611,1,0.225,0,40
2745,1785284647612,1785284647612,0,0.274,0,40
2746,1785284647738,1785284647738,0,0.257,0,40
2747,1785284647738,1785284647738,0,0.241,0,40
2748,1785284647738,1785284647738,0,0.226,0,40
2749,1785284647738,1785284647738,0,0.211,0,40
2750,1785284647738,1785284647738,0,0.198,0,40
2751,1785284647738,1785284647738,0,0.186,0,40
2752,1785284647739,1785284647738,1,0.237,0,40
2753,1785284647739,1785284647739,0,0.284,0,40
2754,1785284647739,1785284647739,0,0.267,0,40
2755,1785284647739,1785284647739,0,0.250,0,40
2756,1785284647739,1785284647739,0,0.234,0,40
2757,1785284647739,1785284647739,0,0.220,0,40
2758,1785284647739,1785284647739,0,0.206,0,40
2759,1785284647740,1785284647739,1,0.256,0,40
2760,1785284647740,1785284647739,1,0.240,0,40
2761,1785284647740,1785284647740,0,0.287,0,40
2762,1785284647867,1785284647867,0,0.269,0,40
2763,1785284647867,1785284647867,0,0.252,0,40
2764,1785284647868,1785284647867,1,0.299,0,40
2765,1785284647868,1785284647867,1,0.280,0,40
2766,1785284647868,1785284647868,0,0.325,0,40
2767,1785284647868,1785284647868,0,0.305,0,40
2768,1785284647868,1785284647868,0,0.286,0,40
2769,1785284647868,1785284647868,0,0.268,0,40
2770,1785284647869,1785284647868,1,0.314,0,40
2771,1785284647994,1785284647994,0,0.357,0,40
2772,1785284647996,1785284647994,2,0.459,0,40
2773,1785284647996,1785284647996,0,0.556,0,40
2774,1785284647996,1785284647996,0,0.521,0,40
2775,1785284647996,1785284647996,0,0.488,0,40
2776,1785284647996,1785284647996,0,0.458,0,40
2777,1785284647996,1785284647996,0,0.429,0,40
2778,1785284647997,1785284647996,1,0.465,0,40
2779,1785284647997,1785284647997,0,0.498,0,40
2780,1785284647997,1785284647997,0,0.467,0,40
2781,1785284647998,1785284647997,1,0.501,0,40
2782,1785284647998,1785284647998,0,0.532,0,40
2783,1785284647998,1785284647998,0,0.499,0,40
2784,1785284647998,1785284647998,0,0.467,0,40
2785,1785284647998,1785284647998,0,0.438,0,40
2786,1785284648000,1785284647998,2,0.536,0,40
2787,1785284648124,1785284648124,0,0.627,0,40
2788,1785284648124,1785284648124,0,0.588,0,40
2789,1785284648125,1785284648124,1,0.614,0,40
2790,1785284648125,1785284648125,0,0.638,0,40
2791,1785284648125,1785284648125,0,0.598,0,40
2792,1785284648125,1785284648125,0,0.561,0,40
2793,1785284648125,1785284648125,0,0.526,0,40
2794,1785284648125,1785284648125,0,0.493,0,40
2795,1785284648125,1785284648125,0,0.462,0,40
2796,1785284648125,1785284648125,0,0.433,0,40
2797,1785284648125,1785284648125,0,0.406,0,40
2798,1785284648127,1785284648127,0,0.381,0,40
2799,1785284648127,1785284648127,0,0.357,0,40
2800,1785284648254,1785284648253,1,0.397,0,40
2801,1785284648254,1785284648253,1,0.372,0,40
2802,1785284648254,1785284648253,1,0.349,0,40
2803,1785284648254,1785284648254,0,0.390,0,40
2804,1785284648255,1785284648254,1,0.428,0,40
2805,1785284648255,1785284648254,1,0.401,0,40
2806,1785284648255,1785284648254,1,0.376,0,40
2807,1785284648255,1785284648255,0,0.415,0,40
2808,1785284648256,1785284648255,1,0.452,0,40
2809,1785284648256,1785284648256,0,0.486,0,40
2810,1785284648256,1785284648256,0,0.455,0,40
2811,1785284648256,1785284648256,0,0.427,0,40
2812,1785284648381,1785284648381,0,0.400,0,40
2813,1785284648381,1785284648381,0,0.375,0,40
2814,1785284648381,1785284648381,0,0.352,0,40
2815,1785284648382,1785284648381,1,0.392,0,40
2816,1785284648382,1785284648382,0,0.430,0,40
2817,1785284648382,1785284648382,0,0.403,0,40
2818,1785284648382,1785284648382,0,0.378,0,40
2819,1785284648382,1785284648382,0,0.355,0,40
2820,1785284648382,1785284648382,0,0.332,0,40
2821,1785284648382,1785284648382,0,0.312,0,40
2822,1785284648382,1785284648382,0,0.292,0,40
2823,1785284648382,1785284648382,0,0.274,0,40
2824,1785284648382,1785284648382,0,0.257,0,40
2825,1785284648509,1785284648508,1,0.303,0,40
2826,1785284648509,1785284648508,1,0.284,0,40
2827,1785284648509,1785284648509,0,0.329,0,40
2828,1785284648509,1785284648509,0,0.308,0,40
2829,1785284648509,1785284648509,0,0.289,0,40
2830,1785284648509,1785284648509,0,0.271,0,40
2831,1785284648510,1785284648510,0,0.254,0,40
2832,1785284648510,1785284648510,0,0.238,0,40
2833,1785284648510,1785284648510,0,0.223,0,40
2834,1785284648510,1785284648510,0,0.209,0,40
2835,1785284648510,1785284648510,0,0.196,0,40
2836,1785284648510,1785284648510,0,0.184,0,40
2837,1785284648636,1785284648636,0,0.173,0,40
2838,1785284648636,1785284648636,0,0.162,0,40
2839,1785284648636,1785284648636,0,0.152,0,40
2840,1785284648636,1785284648636,0,0.142,0,40
2841,1785284648636,1785284648636,0,0.133,0,40
2842,1785284648637,1785284648636,1,0.187,0,40
2843,1785284648637,1785284648637,0,0.238,0,40
2844,1785284648637,1785284648637,0,0.223,0,40
2845,1785284648637,1785284648637,0,0.209,0,40
2846,1785284648637,1785284648637,0,0.196,0,40
2847,1785284648637,1785284648637,0,0.184,0,40
2848,1785284648637,1785284648637,0,0.173,0,40
2849,1785284648637,1785284648637,0,0.162,0,40
2850,1785284648763,1785284648763,0,0.152,0,40
2851,1785284648763,1785284648763,0,0.142,0,40
2852,1785284648763,1785284648763,0,0.133,0,40
2853,1785284648763,1785284648763,0,0.125,0,40
2854,1785284648763,1785284648763,0,0.117,0,40
2855,1785284648763,1785284648763,0,0.110,0,40
2856,1785284648763,1785284648763,0,0.103,0,40
2857,1785284648763,1785284648763,0,0.097,0,40
2858,1785284648763,1785284648763,0,0.090,0,40
2859,1785284648763,1785284648763,0,0.085,0,40
2860,1785284648763,1785284648763,0,0.080,0,40
2861,1785284648763,1785284648763,0,0.075,0,40
2862,1785284648888,1785284648888,0,0.070,0,40
2863,1785284648889,1785284648888,1,0.128,0,40
2864,1785284648889,1785284648888,1,0.120,0,40
2865,1785284648889,1785284648889,0,0.175,0,40
2866,1785284648889,1785284648889,0,0.164,0,40
2867,1785284648889,1785284648889,0,0.154,0,40
2868,1785284648889,1785284648889,0,0.144,0,40
2869,1785284648889,1785284648889,0,0.135,0,40
2870,1785284648889,1785284648889,0,0.127,0,40
2871,1785284648889,1785284648889,0,0.119,0,40
2872,1785284648889,1785284648889,0,0.111,0,40
2873,1785284648890,1785284648890,0,0.104,0,40
2874,1785284648890,1785284648890,0,0.098,0,40
2875,1785284649016,1785284649016,0,0.092,0,40
2876,1785284649016,1785284649016,0,0.086,0,40
2877,1785284649017,1785284649016,1,0.143,0,40
2878,1785284649017,1785284649016,1,0.134,0,40
2879,1785284649017,1785284649016,1,0.126,0,40
2880,1785284649017,1785284649017,0,0.180,0,40
2881,1785284649017,1785284649017,0,0.169,0,40
2882,1785284649017,1785284649017,0,0.159,0,40
2883,1785284649017,1785284649017,0,0.149,0,40
2884,1785284649018,1785284649017,1,0.202,0,40
2885,1785284649018,1785284649018,0,0.252,0,40
2886,1785284649018,1785284649018,0,0.236,0,40
2887,1785284649143,1785284649143,0,0.221,0,40
2888,1785284649144,1785284649143,1,0.270,0,40
2889,1785284649144,1785284649143,1,0.253,0,40
2890,1785284649144,1785284649143,1,0.237,0,40
